,authors,cite_by,description,publication_date,tittle
49,"Dinuka Kankanige, Sandhya Babel",15,"Micro-plastic (MP) contamination of drinking water is an emerging global concern. Findings on the cytotoxic effects of MPs in human cells are an incentive to investigate the MP concentration in drinking water. The present study quantitatively and qualitatively analyzes the MPs in 10 brands of single-use PET-bottled water, sourced from Thailand. A set of glass-bottled water was similarly analyzed to compare the MP concentrations between the two packaging. Two sorting techniques were used: 1) fluorescent tagging with Nile Red (≥6.5 μm) and 2) optical microscopy (≥50 μm). ATR-FT-IR (≥50 μm) and confocal Raman spectroscopy (1–50 μm) were also used. The MP concentration was found to be 140 ± 19 p/L in single-use plastic-bottled water and 52 ± 4 p/L in glass-bottled water. Plastic bottles had a significantly higher MP quantity than the latter. Both 6.5–20 μm and 20–50 μm MPs showed significant dominance …",2020/5/15,Smaller-sized micro-plastics (MPs) contamination in single-use PET-bottled water in Thailand
50,"UG Yasantha Abeysundara, Sandhya Babel, Mongkut Piantanakulchai",15,"This paper presents a method to facilitate the decision-making process in selecting sustainable floors (elements) for buildings in Sri Lanka, taking into consideration environmental, economic and social assessments of materials used for these elements. Two types of elements are selected for this study, namely, tile and vinyl tile. Environmental burdens associated with these elements are analyzed in terms of embodied energy and environmental impacts that are relevant to Sri Lanka, such as global warming, acidification and nutrient enrichment. Economic analysis is based on market prices and affordability of materials. Factors considered for the social analysis are thermal comfort, good interior (aesthetics), ability to construct fast, strength and durability. It was found that tile elements are superior to vinyl tile elements on environmental scores if processes of complete life cycle of these elements are taken into account …",2009/1/1,A matrix for selecting sustainable floor coverings for buildings in Sri Lanka
51,"NAD Ho, S Babel, K Sombatmankhong",14,"In this study, a bio-electrochemical system was used to investigate the recovery of silver from diammine complex [Ag(NH3)2]+, coupled with power generation and wastewater treatment, measured in terms of chemical oxygen demand (COD) removal. Acetate was oxidized by anodic microorganisms to produce electrons, which were transported to the cathode for the reduction of [Ag(NH3)2]+ complex. After 48 h of operation at different initial [Ag(NH3)2]+ concentrations (1000–3000 mg Ag/L), a Ag removal of over 96%, along with a COD removal of 60–76.80%, and a columbic efficiency of 8.55–14.69%, were achieved. Maximum power density slightly increased by 4.66%, from 3618 to 3795 mW/m3, when 10 mM NaNO3 was added to the catholyte containing 2000 mg Ag/L. The diffusion of [Ag(NH3)2]+ ions through the membrane affected the performance, as the inorganic fouling at the membrane surface …",2018/6/1,Bio-electrochemical system for recovery of silver coupled with power generation and wastewater treatment from silver (I) diammine complex
52,"PGI Thushari, S Babel",13,"Production of biodiesel from waste palm oil (WPO) can provide alternative energy and at the same time reduce the problems created by disposal of WPO. In this study, a novel, inexpensive, and environmental benign carbon acid catalyst is prepared by direct in situ concentrated H2SO4 impregnation of palm empty fruit bunch (PEFB) powder and employed for biodiesel production using WPO. The structure and the physiochemical properties of the prepared catalyst (PEFB-DS-SO3H) are analyzed by acid-base back titration data, energy dispersive X-ray spectroscopy (scanning electron microscopy (SEM)-EDS), SEM, Fourier transform infrared (FT-IR) spectroscopy, X-ray photoelectron spectroscopy (XPS), and using N2 adsorption and desorption isotherm data. It is observed that the catalyst has a unique amorphous structure with total acid density of 5.40 mmolgÀ1, surface area of 5.5 m2gÀ1, and 0.31 cm3gÀ1 pore …",2018/3/1,Biodiesel production from waste palm oil using palm empty fruit bunch-derived novel carbon acid catalyst
53,"Chayarat Srisunont, Sandhya Babel",13,"The nutrient uptake and release by the mussels in relation with amount of food consumption are emphasised in this research. Results of the study demonstrate that about 16% of the total mass dry weight food consumed by the mussels was released as faeces. The depositions of particulate carbon, nitrogen, and phosphorus in mussel faeces were found to be 26.3, 5.7, and 0.6 mg/day/indv respectively. Soluble inorganic nutrients such as NH4+-N (2.5 mg/day/indv), and PO43−-P (0.6 mg/day/indv) were also released as mussel excretion. The nutrient absorption efficiency for the green mussel body was found to be 65.1% for carbon, 62.1% for nitrogen, and 79.2% for phosphorus. Subsequently, green mussels can remove particulate carbon, nitrogen and phosphorus at 108.1, 13.5, and 4.6 mg/day/indv from aquatic systems. Finally, the results can help in estimating the carrying capacity of mussel cultivation without …",2015/8/15,"Uptake, release, and absorption of nutrients into the marine environment by the green mussel (Perna viridis)"
54,"UG Yasantha Abeysundara, Sandhya Babel",13,"Selection of environmentally benign, economical and socially favorable materials for construction is helpful in sustainable development. This article presents a method to select such materials (i.e., sustainable materials) for foundations of buildings (elements) in Sri Lanka taking into consideration environmental, economic and social assessments of materials in a life cycle perspective. Rubble and burnt clay bricks elements which are widely used for the masonry buildings in Sri Lanka were selected for this study. Major materials used for these elements are rubble, burnt clay bricks, cement, sand, concrete aggregates and steel (reinforcements). Environmental burdens associated with these materials were analyzed in terms of embodied energy, global warming, acidification and nutrient enrichment. Economic analysis was based on market prices and affordability of materials. Social factors that were taken into account …",2010/10,A quest for sustainable materials for building elements in Sri Lanka: Foundations
55,"Jenjira Saetang, Sandhya Babel",13,"This paper investigated treatment of landfill leachate collected from Nonthaburi landfill site, Thailand, by using immobilized white rot fungi, namely, Trametes versicolor BCC 8725 and Flavodon flavus BCC 17421. Effects of pH and co-substrates were investigated at different contact times. Three types of co-substrates as carbon source used in this study are glucose, corn starch and cassava. Treatment efficiency was evaluated based on color, BOD, and COD removal. Initial BOD and COD were found to be 5,600 and 34,560 mg/L, respectively. The optimum pH was found to be 4, the optimum co-substrate concentration (glucose, corn starch and cassava) was 3 g/L and the optimum contact time was 10 days for both types of fungi. Addition of glucose, corn starch and cassava as co-substrate at optimum conditions could remove 78, 74, and 66% of color, respectively for T. versicolor and 73, 68, and 60%, respectively …",2010/9,Fungi immobilization for landfill leachate treatment
56,"Ngo Anh Dao Ho, Sandhya Babel, Korakot Sombatmankhong",10,"The recovery of silver from Ag+ solution coupled with power generation was investigated in bio-electrochemical system (BES). In this system, chemical energy existing in the organic matter in the anode chamber can be converted biologically to electrical energy which can be used for the reduction of Ag+ ions in the cathode chamber. Results showed that type of substrate influenced the metabolic pathway and affected the cell voltage progression, and columbic efficiency. Silver recovery was not affected by increasing initial pH (2.0 to 7.0) and Ag+ concentration (100 to 1000 mg/L) in the catholyte, whereas power generation was improved. A maximum power density of 8258 mW/m3 and a columbic efficiency of 21.61% could be achieved with 1000 mg/L of Ag+. Ag+ ions were reduced to form metallic deposits as Ag0 crystals on the cathode surface, which were then confirmed by scanning electron microscope …",2017/9,Factors influencing silver recovery and power generation in bio-electrochemical reactors
57,"Jiraporn Yongpisanphop, Sandhya Babel, Maleeya Kruatrachue, Prayad Pokethitiyook",10,"The contamination of lead (Pb) is one of the main environmental problems on a global scale. This study assessed the potential of native metallophytes growing on the Song Tho Pb mine in Kanchanaburi province, Thailand, by a field survey. Plants and the associated soil samples were collected. Total Pb concentrations were analyzed by a flame atomic absorption spectrophotometer after a microwave-assisted acid digestion. While total Pb concentrations of top soils varied from 4881 to 16,720 mg/kg, those in soil around the roots ranged from 421 to 48,883 mg/kg. A total of 12 species belonging to eight families accumulated Pb concentrations in roots (47–32,633 mg/kg) which were higher than those in shoots (non-detected values – 1489 mg/kg). Bidens pilosa, with Pb accumulation in shoots > 1000 mg/kg and translocation factor (TF) > 1, could be useful in phytoextraction as a hyperaccumulator. Thysanolaena …",2017/5/19,"Phytoremediation potential of plants growing on the Pb-contaminated soil at the Song Tho Pb Mine, Thailand"
58,"Manisha Poudyal, Sandhya Babel",10,"Fluoride is an ionic form of the element fluorine and occurs naturally or used as an additive to municipal water supplies. Presence of fluoride beyond the permissible limit (> 1.5 ppm) in drinking water is harmful and not suitable. Considering the range of health effects associated with high levels of fluoride in water, Granular activated carbon (GAC) and domestic sewage sludge has been employed for its removal. The influence of various operational parameters ie, effect of adsorbent dose, pH, agitation speed, initial concentration and contact time were studied by a series of batch adsorption experiments at room temperature (25±3◦ C). The percentage removal was found to increase with adsorbent dose, agitation speed and time for a given initial fluoride concentration (5 ppm) while for increasing fluoride concentration, removal followed a decreasing trend. Although remarkable removal efficiency was observed in acidic range, removal at neutral pH is considered for both adsorbents from drinking water viewpoint. At optimum conditions, the residual fluoride concentration was 1 mg/l in case of GAC and 0.6 mg/l for sludge, which is below the prescribed limit and is thus able to meet the standard. The equilibrium adsorption data are modeled with different isotherm equations applicable to adsorption process. The dewatered sludge fitted better with Freundlich isotherm having correlation coefficients (R2) equal to 0.999 and 0.972 for Langmuir isotherm, respectively. The total pore volume and surface area obtained from BET experiment is 0.3877 cm3g-1 and 884.66 m2g-1 for GAC and 0.00097266 cm3g-1 and 2 m2g-1 for sludge, respectively. FTIR analysis …",2015/3,Removal of fluoride using granular activated carbon and domestic sewage sludge
59,"Dominica D Dacera, Sandhya Babel",10,"Metal fractionation studies on metals in sludge are usually done on dried sludge. Although there are advantages in this form of sludge, it is possible that fractionation of metals in sludge may be influenced by the drying process, which consequently affects mobility of metals at disposal. In this study, sequential chemical extraction was done to assess the effect of drying on fractionation of cadmium (Cd), chromium (Cr), copper (Cu), lead (Pb), nickel (Ni), and zinc (Zn) on wet and dewatered (air-dried and oven-dried) anaerobically digested sludge samples in Bangkok, Thailand. Results revealed an insignificant difference in the fractionation profile of metals for both wet and dewatered sludge. The higher percentage of residual fraction for Cu and oxidizable fraction for Zn in the wet sludge, however, makes this form more suitable for direct land application. In the case of oven-dried and air-dried sludge, the forms of some …",2013/5/1,Effect of drying process on heavy metals fractionation of contaminated sludge for land application
60,"Anh Tuan Ta, Sandhya Babel",9,"While a large number of studies on microplastics (MPs) in the western hemisphere have been performed, few studies are available in the eastern hemisphere, especially in Southeast Asia. In this study, the abundance of MPs in water and sediment samples from the Chao Phraya River at the Tha Pra Chan area, Thailand, was investigated. Water samples were collected by a manta trawl, and sediment samples were collected by a Van Veen grab sampler. The average number and concentration of MPs in water samples were 80 ± 65 items/m³ and 53.3 ± 58.4 mg/m³, respectively. The average number and concentration of MPs in sediment samples were 91 ± 13 items/kg and 4.9 ± 3.4 mg/kg, respectively. The main morphologies of MPs were fragments and fibers, mostly white. Polypropylene (PP) was the dominant polymer type found in both water and sediment. Moreover, the content of heavy metals (Cr, Cu, Ni, and …",2020/10/1,"Microplastic contamination on the lower Chao Phraya: Abundance, characteristic and interaction with heavy metals"
61,"Indika Thushari, Sandhya Babel",9,"Waste utilization is essential and challenging. Utilization of wastes gives environmental, economic, and social benefits. In this study, inexpensive, sulfonated solid acid catalysts were successfully prepared from palm empty fruit bunch (PEFB), coconut meal residue (CMR), and coconut coir husk (CH) waste by a simple protocol. It was found that prepared PEFB–BCS–SO3H, CMR–BCS–SO3H, and CH–BCS–SO3H catalysts have 4.79, 3.75, and 2.80 mmol g-1 acid density and 739.0, 89.77, and 61.49 m2 g-1 surface areas, respectively. Further, the presence of active functional groups on the surface of the catalysts was confirmed by Fourier transform infrared spectroscopy and X-ray photoelectron spectroscopy. Thermal stability of the catalysts was found below 150°C. Results show that biodiesel yield increases with increasing reaction time and methanol loading, when using microwave heating for biodiesel production …",2018/8,Preparation of solid acid catalysts from waste biomass and their application for microwave-assisted biodiesel production from waste palm oil
62,"Hanggara Sudrajat, Dikshya Dhakal, Mitsunori Kitta, Takuro Sasaki, Akiyo Ozawa, Sandhya Babel, Tomoko Yoshida, Nobuyuki Ichikuni, Hiroshi Onishi",8,"KTaO3 was doped with Sr cations, and its photocatalytic activity for the overall water splitting was investigated. By doping with Sr, a Sr-rich shell was formed over a Sr-poor core. Extended X-ray absorption fine structure spectroscopy revealed the simultaneous occupation of the K sites and Ta sites by Sr cations. A concentration gradient of Sr cations occupying the Ta sites was suggested to be produced after doping with Sr. The concentration gradient of Sr cations simultaneously induced an energy gradient of the conduction band edge bottom. Hence, photoexcited electrons are separated, which are driven away to the bulk by the energy gradient, from the complementary holes present on the surface. The higher the Sr cation concentration, the higher the energy gradient produced. Thus, the electron-hole separation is improved and the electron population accordingly increases with the increase in the Sr cation …",2019/7/5,Electron Population and Water Splitting Activity Controlled by Strontium Cations Doped in KTaO3 Photocatalysts
63,"Hanggara Sudrajat, Sandhya Babel",8,"A visible light active nitrogen-doped ZnO (N-ZnO) was synthesized using a solvent-free mechanochemical method and applied to degrade methylene blue (MB) dye in aqueous suspension. Results showed that nitrogen doping improved the photocatalytic activity of pristine ZnO by extending its spectral response to visible region. Using 2 g/L of N-ZnO, 98% MB with the initial concentration of 10 mg/L could be degraded within 2 h at pH 7 under 11.3 klux of visible light irradiation. After 6 th run, it still exhibited appreciable photocatalytic activity with 94% MB degradation, indicating its high reusability though a simple pretreatment was performed.",2015,Photocatalytic degradation of methylene blue using visible light active N-doped ZnO
64,Somchai Chakhatrakan,8,"Tlre effects of N fertilizer applications to the vegetable amaranth growth and yield were studied on the filed experimental plots located at Thammasat University, Pathum Thani, Thailand in 2001. Different rates and timings of N application were tested under Factorial Completely Randomized Design with four replications. Fertilizers were applied at 0, 125.0, 187.5, 250.0 and 312.5 kg ha-r. with application timings at l) pre-plant and 7 days after sowing: 2) pre-plant and l4 days after sowing. and 3) at I and l1days after sowing. Significant differences in plant height. stem diameter. number of leaves. and plant fresh rveight were observed among all treatments. The vegetable arnaranth with N at 3 12.5 kg l'ra-t ar J days after sowing produced the highest yield.",2003,Influences of N fertilizers on the vegetable amaranth production
65,"Hanggara Sudrajat, Indika Thushari, Sandhya Babel",7,"We here dope KTaO3 with La through a solid-state route, resulting in enhanced photocatalytic activity for the mineralization of p-nitrophenol under UV light. We suggest simultaneous substitution of K and Ta by La, leading to lattice expansion and surface nanosteps. With increasing the La concentration, the conduction band edge is raised, while the valence band remains unchanged. As a result, the band gap increases. The raised conduction band edge is proposed to be the key behind the enhanced photocatalytic activity since it results in an increased reduction power of photoproduced electrons. The raised conduction band edge is also an indication of the substitution of Ta, which mainly makes up the conduction band, by La. Furthermore, X-ray photoelectron spectroscopy and X-ray absorption near edge structure confirm the oxidation state of La residing on the surface and in the bulk to be +3, as anticipated …",2019/4/1,Chemical state and coordination structure of La cations doped in KTaO3 photocatalysts
66,"Jiraporn Yongpisanphop, Sandhya Babel, Maleeya Kruatrachue, Prayad Pokethitiyook",7,"Using trees as phytoremediators has become a powerful tool to remediate lead from contaminated environments. This study aims to identify potential candidates among fast-growing trees by comparing their ability to tolerate and accumulate Pb. Cuttings from Acacia mangium, Azadirachta indica, Eucalyptus camaldulensis, and Senna siamea were cultured in 25% modified Hoagland’s solutions supplemented with 10, 30, and 50 mg/L Pb for 15 days. Lead concentrations were determined by a flame atomic absorption spectrophotometer. All species showed high Pb tolerance (over 78%) and low translocation factor (<1) in all treatments. The highest Pb content in roots (>40000 mg/kg) was recorded in A. mangium and E. camaldulensis grown in 50 mg/L Pb solution. Based on high biomass, tolerance index, and Pb content in plants, A. mangium and E. camaldulensis are good candidates for phytoremediation.",2017/10,Hydroponic screening of fast-growing tree species for lead phytoremediation potential
67,"Chayarat Srisunont, Sandhya Babel",7,"This study aims to evaluate the nutrient removal potential and carrying capacity of green mussel cultivation by using the mass balance model. The developed model takes into consideration the green mussel growth rate, density and chlorophyll a concentration. The data employed in this study were based on culture conditions at Sriracha Fisheries Research Station, Thailand. Results show that net nutrient removal by green mussel is 3302, 380, and 124 mg/year/indv for carbon, nitrogen, and phosphorus respectively. The carrying capacity of green mussel cultivation was found to be 300 indv/m2 based on chlorophyll a concentration which will not release phosphorus in the water environment beyond the standard (45 μg-PO4− 3-P/L). Higher chlorophyll a concentration results in lowered green mussel carrying capacity. This model can assist farm operators with possible management strategies for a sustainable …",2016/11/15,Estimating the carrying capacity of green mussel cultivation by using net nutrient removal model
68,"Jenjira Saetang, Sandhya Babel",7,"This research was carried out to study the treatment of landfill leachate by immobilized Trametes versicolor BCC 8725. Leachate was collected from Nonthaburi disposal site of Thailand from a pipe as discharged from landfill to the stabilization pond. Batch experiments were conducted to determine the effects of carbon source (glucose) on the biomass growth of fungi and the treatment of leachate in terms of color, Biological Oxygen Demand (BOD) and Chemical Oxygen Demand (COD) removal. Enzymes produced by Trametes versicolor BCC 8725 were also analyzed. Experimental results indicated a higher biomass growth when glucose was added, indicating that the growth of fungi is dependent on the co-substrate. The percentage of color removal is approximately 58% and 12%, respectively, with and without glucose. BOD and COD removals were 37% and 40% with glucose addition within 12 days at optimum …",2010/12,Effect of glucose on enzyme activity and color removal by Trametes versicolor for high strength landfill leachate
69,"Dominica Del Mundo Dacera, Sandhya Babel",7,"The large amount of unutilised pineapple wastes produced every year in tropical countries, particularly in Thailand, adds to the existing environmental pollution problems of the country. This study investigated the utilisation of pineapple wastes to treat another form of waste (sludge) from wastewater treatment facilities in Thailand. Laboratory scale studies were carried out to determine the potential of using naturally fermented raw liquid from pineapple wastes as a source of citric acid in the extraction of Cr, Cu, Pb, Ni and Zn from anaerobically digested sewage sludge. Results of the leaching study revealed its effectiveness in extracting Zn (at 92%) at pH 3.67 and a short leaching time of only 2 h, and Ni at almost 60% removal at the same leaching time. Chromium removal was also high at almost 75% at a longer leaching time of 11 days. Variation in metal removal efficiencies may also be attributed to the forms of …",2007/10,Heavy metals removal from contaminated sewage sludge by naturally fermented raw liquid from pineapple wastes
70,"Xaysackda Vilaysouk, Sandhya Babel",6,"Climate change is a consequence of greenhouse gas emissions. Greenhouse gas (GHG) emissions from the waste sector contribute to 3% of total anthropogenic emissions. In this study, applicable solutions for municipal solid waste (MSW) management in Luangprabang (LPB) and Laos were examined. Material flow analysis of MSW was performed to estimate the amount of MSW generated in 2015. Approximately 29,419 tonnes of MSW is estimated for 2015. Unmanaged landfilling was the main disposal method, while MSW open burning was also practiced to some extent. The International Panel on Climate Change 2006 model and the Atmospheric Brown Clouds Emission Inventory Manual were used to estimate GHG emissions from existing MSW management, and total emissions are 33,889 tonnes/year carbon dioxide-equivalents (CO2-eq). Three scenarios were developed in order to reduce GHG emissions …",2017/7/18,"Benefits of improved municipal solid waste management on greenhouse gas reduction in Luangprabang, Laos"
71,"Emmanuel P Leano, Sandhya Babel",6,"In this study, batch production of electricity using anaerobic sludge from a beverage factory subjected to heat pretreatment at 105°C for 90 minutes was investigated. Cassava wastewater with a COD value of 32,000 mg/L subjected to pretreatment with (i) sonication and (ii) α-amylase (enzyme) was used as a substrate. Experiments were conducted in a double chamber microbial fuel cell separated by a Proton Exchange Membrane (PEM) to study the amount of electricity produced. Methylene blue was used as electron mediator while the phosphate buffer saline solution acted as electrolyte. The value of voltage (mV) and current (mA) were measured every 30 minutes during the first 24 hours and hourly measurements were performed afterwards for a total of 10 days. The power outputs were calculated based on the obtained measurements. The average maximum power output was obtained from cassava wastewater …",2011/6/27,Electricity generation from anaerobic sludge and cassava wastewater subjected to pretreatment methods using microbial fuel cell
72,"Hanggara Sudrajat, Sandhya Babel, Jakkapon Phanthuwongpakdee, Truong Khang Nguyen",5,"We here couple Nb2O5 with Fe2O3 to form visible-light active heterojunctions. The formed heterojunctions are responsive to visible light, and more importantly, photoactive for the mineralization of refractory organic compounds upon exposure to visible light. The sensitizer, Fe2O3, is found to govern the photocatalytic activity of the heterojunction. Therefore, the local structure of the sensitizer is investigated in-depth with X-ray absorption spectroscopy, including X-ray absorption near-edge structure (XANES) and extended X-ray absorption fine structure (EXAFS). Results show that the local structure of Fe2O3 is generally insensitive to the Fe2O3 loading amount, as confirmed by EXAFS. The lengths of the Fe–O coordination and Fe–Fe coordination in the heterojunctions are 1.93 and 2.92 Å, respectively, which are shorter than those in bulk Fe2O3. At a Fe2O3 loading amount that is higher than the optimum value …",2019/10/25,Local structure of iron oxide sensitizing Nb2O5 photocatalysts
73,"W Boontham, S Babel",5,"Adsorbents prepared from the three selected plants from Apiaceae famaily commonly known as parsley, coriander and culantro were observed to remove lead from aqueous solutions. Batch experiments were conducted to study the effect of dosage, pH, contact time and agitation speed at 10 mg L–1 initial Pb(II) concentration. Results revealed that three selected plants showed high adsorption capacity for removal of lead from aqueous solutions. The maximum biosorption of Pb2+ was found to be more than 97% with 1.0 g/l dosage for all three adsorbents under optimum pH of 3-5. The adsorption equilibrium was established after about 1 hr. The equilibrium adsorption capacity of parsley and coriander were found to fit well with the Langmuir isotherm whereas the Freundlich isotherm was better fit for culantro. The studies showed that the adsorbents can be used for removing lead ions from contaminated waters.",2017/6/1,Apiaceae Family Plants as Low-Cost Adsorbents for the Removal of Lead Ion from Water Environment
74,"Sandhya Babel, Sirintra Arayawate, Ekarat Faedsura, Hanggara Sudrajat",5,"Microwave assisted transesterification of waste cooking oil (WCO) is carried out in the presence of KOH on carbonized waste coconut shell support (KOH/CS), and CaO derived from waste egg shell (CaO-ES). The effect of reaction temperature on the yield of fatty acid methyl esters (FAMEs) is studied. Conventional transesterification is also performed for comparison. FAME production is also carried out with new cooking oil (NCO). The results show that a reaction temperature of 80 C is optimum for FAME production in the presence of either KOH/CS or CaO-ES. The produced biodiesel properties satisfy the criteria according to ASTM D6751. Acid catalysed esterification of WCO before transesterification leads to higher production of FAMEs due to the reduction of free fatty acids (FFAs). However, conventional transesterification using WCO without esterification yields lower FAMEs. Although the microwave heating decreases the reaction time, it does not necessarily lead to an increase in FAMEs. The production of FAMEs depends on not only the type of transesterification process, but also the type of feedstock. Comparing KOH/CS with CaO-ES, KOH/CS is preferable in terms of the quantity and quality of the produced FAMEs using a two-step process with H 2 SO 4 catalysed esterification, followed by alkali catalysed conventional transesterification.",2016/12/9,"Production of biodiesel from waste cooking oil using transesterification, with the KOH on carbon support from waste material and egg shell, as the catalyst"
75,"Wanida Chooaksorn, Rachnarin Nitisoravut, Chongrak Polprasert, Sandhya Babel, Kritapas Laohhasurayotin, Wiyong Kangwansupamonkon",5,"Bituminous activated carbon (AC) has been widely used as a sorbent for adsorption of non‐polar species, but its performance for removal of ionic species such as heavy metals has not been as efficient. In this study, AC was modified with chitosan nanoparticles (CN) using facile methods of dip coating and wet impregnation. The CN‐coated AC demonstrated an increase in Cr(VI) removal efficiency in both kinetics and adsorption capacity. The adsorption capacity of the CN‐coated AC (mg/g) was more than twice that of the uncoated AC (36.36 mg/g), or pure chitosan (32.57 mg/g). The sizes of the synthesized CN (160‐2,000 nm) can be controlled by varying the concentration of the chitosan/reagents used. The adsorption isotherms are better described using the Freundlich rather than the Langmuir model and are in agreement with the heterogeneity of the surfaces. Adsorption kinetics followed that of the pseudo …",2016/11,Enhancement of Cr (VI) ion removal using nanochitosan coated on bituminous activated carbon
76,"Dominica Dacera, Peesamai Jenvanitpanjakul, Suwanchai Nitisoravut, Sandhya Babel",5,"Abstract Hexane (CrHr4), is universally employed as a solvent in the extraction of oil from rice bran. It is a colorless volatile liquid which is soluble in water and highly flammable. The EPA has now categorized hexane as a FIAP (hazardous air pollutant). Since hexane is very volatile, flammable and explosive, it is also a physical hazard. Numerous plants have exploded and burned over the past 50 years often resulting in the loss of multiple lives.
The inevitable daily loss of hexane into the environment is probably the most severe problem in the industry. Hence, it is a requirement o reduce the release of hexane from the production process. In rice bran oil production, hexane loss in the extraction process is affected by several factors, including the quality and nature of raw rice bran and the operational conditions of the extraction process.",2003,Hexane reduction in a Thai rice bran oil factory: a cleaner technology approach
77,"Jiraporn Yongpisanphop, Sandhya Babel, Futoshi Kurisu, Maleeya Kruatrachue, Prayad Pokethitiyook",4,"Lead (Pb) contamination is one of the major environmental problems on a global scale. Bacterial endophytes have been accepted as a promising technique to assist phytoremediation. In this study, three Pb-tolerant endophytic bacteria were isolated from the roots of Pityrogramma calomelanos. Based on partial 16S rRNA gene sequencing analysis, all isolates were similar to Pseudomonas and tolerated Pb concentration up to 1850mg/L, producing siderophores and solubilized phosphate. Among them, Pc isolate closely related to Pseudomonas psychrophila showed the highest water-soluble Pb in solution (Pb solubilization) and in contaminated soil. This isolate was chosen to study the effects on Pb accumulation in the roots of Acacia mangium and Eucalyptus camaldulensis by a hydroponic experiment. The results showed that, in the Hoagland nutrient solution with no Pb spiking, the roots showed no …",2020/12/5,Isolation and characterization of Pb-resistant plant growth promoting endophytic bacteria and their role in Pb accumulation by fast-growing trees
78,"Hanggara Sudrajat, Sandhya Babel, Anh Tuan Ta, Truong Khang Nguyen",4,"The response of TiO2 is extended to visible light by doping with Mn through a hydrothermal route. The role, chemical identity, and local structure of the Mn dopants are comprehensively elucidated to find the key factors behind the improved photocatalytic activity. X-ray absorption fine structure and X-ray near-edge structure spectroscopy with synchrotron light reveal that the Mn dopants partially replace Ti atoms in the bulk of the TiO2 host to form a MnO2–TiO2 solid solution. The Mn dopants extend the light absorption of the host to the visible region and restrict electron-hole recombination, as probed by diffuse reflectance spectroscopy and light-induced infrared absorption spectroscopy, respectively. The extension of light absorption is not monotonically correlated with the improvement in photocatalytic activity. At an excessive Mn concentration, the conduction band edge bottom becomes too low to enable the …",2020/9/1,"Mn-doped TiO2 photocatalysts: Role, chemical identity, and local structure of dopant"
79,"Sandhya Babel, Anh Tuan Ta, Teshan Udayanga Habarakada Liyanage",4,"Thailand covers an area of 513,120 km2 and is located in the southern region of the continent of Asia. The total population was around 67.2 million in 2016. With increasing population growth, city expansion and rapid industrialization, generated 27.37 tonnes of waste in 2017. Thailand government has recognized problems associated with solid, hazardous, and electronic waste generation and issued policies/regulations to support the waste management system. Initiatives such as roadmap for municipal and hazardous waste, national master plan on cleaner production and cleaner technology, and national integrated e-waste management strategy have been introduced to improve the waste management system. However, there are many issues preventing the implementation of a successful waste management system in Thailand. Society has suffered from waste mismanagement because of lack of awareness and …",2020,Current situation and challenges of waste management in Thailand
80,"Hanggara Sudrajat, Sandhya Babel",4,"ZnO is a well-known metal oxide for photocatalysis purpose. In a real setting, nonetheless, its photocatalytic activity is still rather poor, and thus, needs to be improved. In this research, ZnO is loaded with metallic Ag with varied Ag loading amount through a one-pot hydrothermal route for the improvement of photocatalytic activity. Various characterization techniques, including synchrotron XANES, XPS, XRD, Raman, ICP-OES, DRS, Raman, light-induced IR, SEM, and HR-TEM, are employed for elucidating the physicochemical features of the prepared samples. XPS and XANES confirm that the oxidation state of the loaded Ag is 0, while HR-TEM confirms the presence of Ag in the form of nanoclusters with a size of about 3 nm on the ZnO surface. An enhanced population of photoexcited electrons is observed following the Ag loading. Upon the Ag loading, the photocatalytic activity of ZnO for the mineralization of …",2019/4/1,Loading of metallic silver onto ZnO for enhancement of electron population and photocatalytic activity
81,"H Sudrajat, S Babel",4,"Use of highly photoactive materials is critical for applicability of photocatalysis in large-scale water treatment facilities. Unfortunately, in a real setting, the performance of existing photocatalysts is not as good as expected. Therefore, finding a truly photoactive material is of great importance. Herein, ZnO nanoparticles prepared through a simple solid-state route at moderate temperatures in the absence of oxygen are demonstrated to be a suitable option for environmental photocatalysis. Within only 8 min of UVA irradiation at pH 6, the degradation efficiency for 2 mg/L of microcystin-LR using 0.5 g/L of ZnO synthesized at 350 °C reaches as high as 97%. Hydroxyl radicals and valence band holes are found to be responsible for such a high degradation of microcystin-LR. The photocatalytic activity can also be maintained after six successive uses.",2019/2,Ultrahigh photoactivity of ZnO nanoparticles for decomposition of high-concentration microcystin-LR in water environment
82,"Nonglak Rungruang, Sandhya Babel",4,"The potential for cadmium (Cd) removal from contaminated soil by two species—marigold (Tagetes erecta L.) and Guinea grass (Panicum maximum)—was investigated in pot culture experiments in a greenhouse in triplicate. The concentration of Cd was varied from 50 to 200 mg kg−1 and the pH was varied from 5.0 to 7.5 to investigate the effect of pH on Cd uptake. The results showed that total biomass of Guinea grass was around nine and seven times higher than that of marigold for Cd treatments of 50 and 100 mg kg−1 at pH 5.0, respectively. Total cadmium uptake at Cd treatments of 50 and 100 mg kg−1 at pH 5.0 by Guinea grass was 19.28 ± 3.14 and 36.06 ± 4.28 mg kg−1, respectively, and for marigold was 15.66 ± 4.17 and 20.38 ± 3.24 mg kg−1, respectively. The total Cd uptake by Guinea grass was 1.23 and 1.77 higher than that of marigold at Cd treatments of 50 and 100 mg kg−1, respectively, at pH 5.0 …",2016/2/17,Cadmium Removal Potential from Contaminated Soil by Tagetes erecta L. and Panicum maximum: Influence of Soil pH
